id,flavor,image_url,description,created_at,updated_at
110,Pure,/assets/images/pure.png,"Crisp, clean, and clear, the blue can is pure, our only unflavored sparkling","2019-04-16 22:03:54.828223","2019-04-16 22:03:54.828223"
111,Lime,/assets/images/lime.png,"As good as it looks, always a crowd pleaser.","2019-04-16 22:07:24.098507","2019-04-16 22:07:24.098507"
112,Lemon,/assets/images/lemon.png,"Tastes better as a sparkling water, no seeds or soggy fruit floater.","2019-04-16 22:09:10.772617","2019-04-16 22:09:10.772617"
113,Orange,/assets/images/orange.png,"The more things change the more they stay the same as this tangy flavor is a fan favorite!","2019-04-16 22:09:52.961412","2019-04-16 22:09:52.961412"
114,Berry,/assets/images/berry.png,"Hopefully you’re switching to sparkling because it’s berry delicious!","2019-04-16 22:10:45.035375","2019-04-16 22:10:45.035375"
115,Cran-raspberry,/assets/images/cran_raspberry.png,"A mixture of two great tastes that’s berry delightful with nothing artificial.","2019-04-16 22:19:40.292744","2019-04-16 22:19:40.292744"
116,Pamplemousse,/assets/images/pamplemousse.png,"It’s the French translation for the word grapefruit and show of humor from this all-American brand.","2019-04-16 22:20:13.140385","2019-04-16 22:20:13.140385"
117,"Peach Pear",/assets/images/peach_pear.png,"Combines the sweet smell of peach with a rounded pear taste.","2019-04-16 23:21:21.712109","2019-04-16 23:21:21.712109"
118,Coconut,/assets/images/coconut.png,"Summer in a can, coconut is great as a mixer.","2019-04-16 23:21:55.448247","2019-04-16 23:21:55.448247"
119,Apricot,/assets/images/apricot.png,"You know that fruit that you eat all dried and shriveled? Now it's a beverage!","2019-04-16 23:27:02.993697","2019-04-16 23:27:02.993697"
220,Mango,/assets/images/mango.png,"Mangos are green on the outside with a slightly red hue on top when ripe, thus the can colors.","2019-04-16 23:27:35.805039","2019-04-16 23:27:35.805039"
221,Passionfruit,/assets/images/passionfruit.png,"Honestly, not super sure what a passionfruit is, but in its liquid form - delish!","2019-04-16 23:28:37.913063","2019-04-16 23:28:37.913063"
222,Tangerine,/assets/images/tangerine.png,"Freshly peeled aroma and Tangerr -EEN effervescence to transport your taste buds!","2019-04-16 23:29:14.702776","2019-04-16 23:29:14.702776"
223,"Key Lime",/assets/images/key_lime.png,"Starts with a creamy note of toasted meringue, followed by the tart, crisp KeyLime essence, trailing with a rich, graham cracker finish.","2019-04-16 23:30:22.927299","2019-04-16 23:32:51.214658"
224,"Pomme bayá",/assets/images/pomme_baya.png,"Translates to Apple-Berry. One of two new fantastique flavors inspired by two cultures, French & Spanish.","2019-04-16 23:33:57.324612","2019-04-16 23:33:57.324612"
225,"Cerise Limón",/assets/images/cerise_limon.png,"Translates to Cherry Lime. One of two new fantastique flavors inspired by two cultures, French & Spanish.","2019-04-16 23:34:52.405833","2019-04-16 23:34:52.405833"
226,"Piña Fraise",/assets/images/pina_fraise.png,"Translates to Pineapple Strawberry. The newest fantastique flavor inspired by two cultures, French & Spanish.","2019-04-16 23:35:49.880201","2019-04-16 23:35:49.880201"
227,"Kiwi Sandía",/assets/images/kiwi_sandia.png,"Freshly cut, bright watermelon wedges and juicy slices of kiwi … now that is a perfect pairing!","2019-04-16 23:36:30.361085","2019-04-16 23:36:30.361085"
228,"Melón Pomelo",/assets/images/melon_pomelo.png,"Ripe cantaloupe essence infused with pink grapefruit… a tangy duo with a touch of sweetness!","2019-04-16 23:37:17.621455","2019-04-16 23:37:17.621455"
229,"Muré Pepino",/assets/images/mure_pepino.png,"Sweet & sour blackberry notes and the natural earthiness of crisp cucumber create this unique new flavor combination","2019-04-16 23:37:52.327472","2019-04-16 23:37:52.327472"
330,LaCola,/assets/images/laCola.png,"The first of its kind, a revolutionary experience… Natural cola essenced sparkling water completely Innocent!","2019-04-16 23:38:37.231506","2019-04-16 23:38:37.231506"
